1971,107.1,36.3,65.4,49.9,46.5,96.2,42.7,108.2,25.2,73.8,91.2,39.1
1972,100.9,74.3,76.4,69,74,77.2,55.1,37,39.3,34.9,103.2,109.1
1973,45.7,43,25.1,65.5,78.2,56.1,85.9,65.8,77.9,53,53.9,69.6
1974,129.2,104.7,44.7,13.2,40.4,63,75.9,88.6,143.1,90,122.8,81.3
1975,123.2,30.2,75,67.6,42.4,19.9,65.4,51,102,35.5,73.2,50
1976,61.3,41.9,46.5,20.1,62,18.1,30.6,25.3,147.9,148.3,81.9,87.8
1977,96.4,134.6,73.5,51.6,48.8,82.4,24.8,93.5,42.5,69.7,105.1,92.5
1978,109.3,79.1,81.9,48.4,40.4,59.8,83.8,64.7,55.2,18.8,62.3,161.7
1979,81.1,59.1,122.9,64.2,113.6,36.1,32.8,90.8,42.5,75.1,91,159.6
1980,75.9,90.7,98.8,16.7,29,117.4,64.2,88.6,65.9,128.1,90.5,81.5
1981,58.8,53.6,156.2,56.6,87.8,47,52.4,41.4,140.9,124.6,70.9,90.1
1982,76.3,48.6,100.6,22.4,42.3,117.2,34.4,83.9,78.7,117.4,126.1,104.9
1983,103.7,38.8,65.6,101.6,110.3,35.6,34.7,32.9,99.5,84.3,49.6,111.2
1984,142.7,56.6,58.5,10.4,58.3,42.7,25.9,56.9,114.8,98.8,142.8,79.2
1985,71.3,28.4,65.5,68.9,64.6,93.8,71.2,115.9,44.8,47.7,76.1,126.5
1986,119.8,16.5,78.5,82.7,85.2,42,54.1,115.8,24.1,95.2,122.4,142
1987,29.7,58.6,89,63.1,45.3,104.3,72.1,66.4,64.6,165,79.3,64.3
1988,153,63.4,101.8,40.2,58.9,38.4,127.5,84.1,62.7,88.8,47.8,45.1
1989,46,87.5,90.7,81.9,20.1,54.9,37.2,57,40.6,96.8,60.1,132.9
1990,131.3,140.7,22.7,38.1,24.2,70.7,34.2,46.2,52.2,101,65.9,99.5
1991,91.1,63.7,74.2,69.2,13.9,92.7,67.7,30.4,61.9,76.1,93.2,48.9
1992,47.8,46.3,83.5,72.3,48,38.2,81.6,127.7,90.9,83.1,136.8,82.3
1993,110.4,15.2,25.3,91.2,86.5,64,80.6,53.1,110.2,87,71.7,162.7
1994,119.8,79.7,93.4,72.1,59.8,35.5,45.1,69.8,102.5,94.7,83.7,137.9
1995,156,110.9,65.5,26.2,47.5,22.4,39,10.3,109.8,55.8,80.5,81.5
1996,62.1,81.6,42.1,49.3,56,29.1,40.6,78.7,33.7,88.3,124.5,51.7
1997,13.8,116.6,30.7,24.2,72.9,123.8,47.3,91.9,35,66.7,113.5,105
1998,116,22.7,96.5,121.8,32.5,124.3,58.5,50.2,92.3,161.1,83.9,90.9
1999,133.9,51.3,70.9,74.9,57.6,82,24.1,103,119,81.9,64.2,151.1
2000,54.5,96.1,38,132.5,83.8,47.6,62.3,66.4,121.5,180.1,174.8,136.6
2001,74.2,96.3,91.3,98.1,42.5,41.9,74,86.1,81.3,131.6,67.7,44.3
2002,95.1,140.7,49.3,53.7,93.7,57.4,83.3,67.3,34.8,133.3,154.1,128.5
2003,86.1,38.8,38.9,45.4,74.6,67.2,75.6,17.6,36.7,57.7,100.1,100.3
2004,124,58.8,53.9,78.5,45.8,58.5,68.5,148.9,65.9,148.5,52.6,69.2
2005,67.6,50.3,52,74.5,47.6,56.6,66.3,59.5,68.4,121.9,90,68.7
2006,35,56.3,93.5,46,109.5,25.6,43.1,90.2,74.9,117.7,110.2,129.8
2007,110.5,100.9,62.7,12.6,110.1,149,136,57.2,50.6,47.3,73.1,99.7
2008,145.2,43.6,99.3,68,67.1,63.1,107.1,119.3,104.8,111.8,87.8,63.9
